episode_key	source_file	status	method
W12L1 - Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W12L1 Sammenligning af teorier og subjektets historie og eksamen/W12L1 Grundbog kapitel 8 - Personlighed, subjektivitet og historicitet.pdf	done_manual_curated_v2	manual_curated_v2
W1L1 - Grundbog kapitel 01 - Introduktion til personlighedspsykologi.wav	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	done_manual_curated_v2	manual_curated_v2
W1L1 - Grundbog kapitel 1 - Introduktion til personlighedspsykologi [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	done_manual_curated_v2	manual_curated_v2
W1L1 - Lewis (1999) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Lewis (1999).pdf	done_manual_curated_v2	manual_curated_v2
W1L2 - Koutsoumpis (2025) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L2 Personality assessment/W1L2 Koutsoumpis (2025).pdf	done_manual_curated_v2	manual_curated_v2
W1L2 - Mayer & Bryan (2024) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L2 Personality assessment/W1L2 Mayer & Bryan (2024).pdf	done_manual_curated_v2	manual_curated_v2
W1L2 - Phan et al. (2024) [EN] {type=audio lang=en format=deep-dive length=long hash=fa9adbcf}.mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L2 Personality assessment/W1L2 Phan et al. (2024).pdf	done_manual_curated_v2	manual_curated_v2
W1L2 - Phan et al. (2024) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W1L2 Personality assessment/W1L2 Phan et al. (2024).pdf	done_manual_preexisting	manual_from_pdf_v1
W2L1 - Columbus & Strandsbjerg (2025) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L1 Personality traits, personality states, and personality dimensions/W2L1 Columbus & Strandsbjerg (2025).pdf	done_manual_curated_v2	manual_curated_v2
W2L1 - X Zettler et al. (2020) [EN] {type=audio lang=en format=deep-dive length=long hash=fa9adbcf}.mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L1 Personality traits, personality states, and personality dimensions/W2L1 X Zettler et al. (2020).pdf	done_manual_curated_v2	manual_curated_v2
W2L1 - X Zettler et al. (2020) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L1 Personality traits, personality states, and personality dimensions/W2L1 X Zettler et al. (2020).pdf	done_manual_curated_v2	manual_curated_v2
W2L2 - Bleidorn et al. (2022) [EN] {type=audio lang=en format=deep-dive length=long hash=fa9adbcf}.mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L2 Person-situation interplay - stability and change of individual differences/W2L2 Bleidorn et al. (2022).pdf	done_manual_curated_v2	manual_curated_v2
W2L2 - Bleidorn et al. (2022) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L2 Person-situation interplay - stability and change of individual differences/W2L2 Bleidorn et al. (2022).pdf	done_manual_curated_v2	manual_curated_v2
W2L2 - Li & Wilt (2025) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W2L2 Person-situation interplay - stability and change of individual differences/W2L2 Li & Wilt (2025).pdf	done_manual_curated_v2	manual_curated_v2
W3L1 - Kandler & Instinske (2025) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W3L1 Culture, evolution, genetics, and personality/W3L1 Kandler & Instinske (2025).pdf	done_manual_preexisting	manual_from_pdf_v1
W3L1 - Lu, Benet-Martínez & Wang (2023) [EN].mp3	/Users/oskar/Library/CloudStorage/OneDrive-Personal/onedrive local/Mine dokumenter 💾/psykologi/Personlighedspsykologi/Readings/W3L1 Culture, evolution, genetics, and personality/W3L1 Lu, Benet-Martínez & Wang (2023).pdf	done_manual_curated_v2	manual_curated_v2
